"","movie_title","review_link"
"38","Olympus Has Fallen<U+00A0>","https://www.imdb.com/title/tt2302755/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"39","Elysium<U+00A0>","https://www.imdb.com/title/tt1535108/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"40","Battle Los Angeles<U+00A0>","https://www.imdb.com/title/tt1217613/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"41","Hugo<U+00A0>","https://www.imdb.com/title/tt0970179/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"42","10 Cloverfield Lane<U+00A0>","https://www.imdb.com/title/tt1179933/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"43","Looper<U+00A0>","https://www.imdb.com/title/tt1276104/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"44","Prisoners<U+00A0>","https://www.imdb.com/title/tt1392214/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"45","The Grand Budapest Hotel<U+00A0>","https://www.imdb.com/title/tt2278388/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"46","RoboCop<U+00A0>","https://www.imdb.com/title/tt1234721/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"47","12 Years a Slave<U+00A0>","https://www.imdb.com/title/tt2024544/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"48","Fantastic Four<U+00A0>","https://www.imdb.com/title/tt1502712/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"49","Evil Dead<U+00A0>","https://www.imdb.com/title/tt1288558/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"50","The Hateful Eight<U+00A0>","https://www.imdb.com/title/tt3460252/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"51","Sinister<U+00A0>","https://www.imdb.com/title/tt1922777/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"52","Jupiter Ascending<U+00A0>","https://www.imdb.com/title/tt1617661/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"53","Sucker Punch<U+00A0>","https://www.imdb.com/title/tt0978764/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"54","Drive<U+00A0>","https://www.imdb.com/title/tt0780504/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"55","Chappie<U+00A0>","https://www.imdb.com/title/tt1823672/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"56","Her<U+00A0>","https://www.imdb.com/title/tt1798709/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"57","It Follows<U+00A0>","https://www.imdb.com/title/tt3235888/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"58","Warrior<U+00A0>","https://www.imdb.com/title/tt1291584/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"59","Whiplash<U+00A0>","https://www.imdb.com/title/tt2582802/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
"60","The Interview<U+00A0>","https://www.imdb.com/title/tt2788710/reviews?sort=submissionDate&dir=asc&ratingFilter=0"
